"SpielID";"SpielName";"YoutubeURL";"Beschreibung";"KBeschreibung";"Audio";"Datum";"BuyURLPS";"BuyURLPC";"BuyURLXbox";"BuyURLNintendo";"Logo";"Orte";"Cover";"Gameplay";"Graphic";"Story";"AI";"Creativity";"Immersion";"Sound";"Rating";"WievieleUserVote";"Geprüft"
"1";"Stellar Blade";"DYen6-TaSB8?si=0HCNCSnD0qIvyx6g";"EROBERE DIE ERDE FÜR DIE MENSCHHEIT ZURÜCK";"Beschreibung";"Deutsch,Englisch, Französisch, Italienisch, Spanisch, Portugiesisch, Koreanisch";"2024-04-26";"https://www.playstation.com/de-de/games/stellar-blade/";"";"";"";"/bilder/Spielelogo/Stellar_Blade.png";"/bilder/Orte/Stellar_Blade/Stellar_Blade.png";"/bilder/Cover/Stellar_Blade.png";"85";"80";"85";"70";"85";"80";"85";"81";"10";"1"
"2";"Senua's Saga: Hellblade 2 ";"6z04b5a-13Y?si=heZSizQwUHTPtpGG";"Senua ist entschlossen, diejenigen zu retten, die Opfer der Tyrannei geworden sind.";"Beschreibung";"Englisch";"2024-05-21";"";"https://www.xbox.com/de-de/games/store/senuas-saga-hellblade-ii/9pmbb7nghv95";"https://www.xbox.com/de-de/games/store/senuas-saga-hellblade-ii/9pmbb7nghv95";"";"/bilder/Spielelogo/Senuas_Saga_Hellblade_2.png";"/bilder/Orte/Senuas_Saga_Hellblade_2/Senuas_Saga_Hellblade_2.png";"/bilder/Cover/Senuas_Saga_Hellblade_2.png";"75";"85";"85";"75";"85";"90";"90";"84";"10";"1"
"3";"Black Myth: Wukong";"rPPwsqfoy0w?si=43wdKaLrtV9OgQDj";"Eine Reise nach Westen durch die chinesischen Mythologie";"Beschreibung";"Englisch";"2024-08-20";"https://www.playstation.com/de-de/games/black-myth-wukong/";"https://store.steampowered.com/app/2358720/Black_Myth_Wukong/?l=german";"https://www.xbox.com/de-DE/search/results?q=Black+Myth+WuKong";"";"/bilder/Spielelogo/Black_Myth_Wukong.png";"/bilder/Orte/Black_Myth_Wukong/Black_Myth_Wukong.png";"/bilder/Cover/Black_Myth_Wukong.png";"90";"95";"75";"70";"85";"85";"85";"84";"10";"2"
"4";"Star Wars Outlaws";"ymcpwq1ltQc?si=HpFSzXPaKZNxgeIw";"Ein Abendteuer zwischen den Ereignissen von Das Imperium schlägt zurück und Die Rückkehr der Jedi-Ritter";"Beschreibung";"Deutsch, Englisch, Französisch, Spanisch, Portugiesisch, Japanisch";"2024-08-30";"https://store.playstation.com/de-de/product/EP0001-PPSA08260_00-GAME000000000000";"https://store.ubisoft.com/de/star-wars-outlaws/645ba713a9ce0448bffa4c12.html";"https://www.xbox.com/de-DE/games/store/star-wars-outlaws/9PJ5BTQ1X7X9/0017";"";"/bilder/Spielelogo/Star_Wars_Outlaws.png";"/bilder/Orte/Star_Wars_Outlaws/Star_Wars_Outlaws.png";"/bilder/Cover/Star_Wars_Outlaws.png";"72";"82";"70";"65";"70";"78";"80";"74";"10";"2"
"5";"Hades 2";"l-iHDj3EwdI?si=JVpN2hD1VcBDiYez";"Schlüpf in die Rolle von Melinoe, der unsterblichen Prinzessin der Unterwelt.";"Beschreibung";"Englisch";"2024-05-06";"";"https://store.steampowered.com/app/1145350/Hades_II/";"";"";"/bilder/Spielelogo/Hades_2.png";"/bilder/Orte/Hades_2/Hades_2.png";"/bilder/Cover/Hades_2.png";"90";"82";"78";"72";"88";"85";"88";"83";"10";"2"
"6";"Final Fantasy VII Rebirth";"GHr1ecp9da4?si=ztRBMDoT06ykkmCl";"Nach ihrer Flucht aus der dystopischen Stadt Midgar brechen Cloud und seine Freunde zu einer Reise auf. ";"Beschreibung";"Deutsch, Japanisch, Englisch, Französisch";"2024-02-29";"https://store.playstation.com/de-de/product/EP0082-PPSA08668_00-0783148264580163";"";"";"";"/bilder/Spielelogo/Final_Fantasy_VII_Rebirth.png";"/bilder/Orte/Final_Fantasy_VII_Rebirth/Final_Fantasy_VII_Rebirth.png";"/bilder/Cover/Final_Fantasy_VII_Rebirth.png";"80";"90";"90";"85";"90";"85";"90";"87";"10";"1"
"7";"Warhammer 40.000 Space Marine 2";"GpYIuo3xGA8?si=eCzj-vXg2adBt6Tt";"Verkörpere die übermenschlichen Fähigkeiten und Brutalität der Space Marines";"Beschreibung";"Deutsch, Japanisch, Englisch, Französisch, Italienisch,Spanisch,Russisch,Chinesisch";"2024-09-09";"https://store.playstation.com/de-de/concept/10003330";"https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/";"https://www.xbox.com/de-DE/games/store/warhammer-40000-space-marine-2-pre-order/9N6KKQ71WQ6G/0017";"";"/bilder/Spielelogo/Warhammer_40.000_Space_Marine_2.png";"/bilder/Orte/Warhammer_40000_Space_Marine_2/Warhammer_40.000_Space_Marine_2.png";"/bilder/Cover/Warhammer_40.000_Space_Marine_2.png";"85";"85";"70";"68";"72";"82";"82";"78";"10";"2"
"8";"Assassins Creed Shadow";"G9BiTL3FlH8?si=Cmnfqbt0CUlHKvsd";"Eine Reise durch Japan auf einer Rachemission. ";"Beschreibung";"Deutsch, Japanisch, Englisch, Französisch, Italienisch,Spanisch,Portugiesisch";"2024-11-12";"https://store.playstation.com/de-de/product/EP0001-PPSA20397_00-GAME000000000000";"https://store.ubisoft.com/de/assassins-creed-shadows/660e5a03fbff4e2940488bcd.html";"https://www.xbox.com/de-DE/games/store/assassins-creed-shadows/9N9P758CH65M/0017";"";"/bilder/Spielelogo/Assassins_Creed_Shadow.png";"/bilder/Orte/Assassins_Creed_Shadow/Assassins_Creed_Shadow.png";"/bilder/Cover/Assassins_Creed_Shadow.png";"75";"85";"72";"65";"72";"78";"78";"75";"10";"0"
"9";"S.T.A.L.K.E.R. 2";"r4xyN1n7ysQ?si=ks8q2toFoqgfEkXk";"Das Herz von Tschornobyl wartet auf euch. ";"Beschreibung";"Englisch, Ukrainisch";"2024-11-20";"";"https://store.steampowered.com/app/1643320/STALKER_2_Heart_of_Chornobyl/?l=german";"https://www.xbox.com/de-DE/games/stalker-2";"";"/bilder/Spielelogo/S.T.A.L.K.E.R._2.png";"/bilder/Orte/STALKER_2/S.T.A.L.K.E.R._2.png";"/bilder/Cover/S.T.A.L.K.E.R._2.png";"78";"82";"80";"65";"78";"88";"80";"79";"10";"0"
"10";"Silent Hill 2 Remake";"197HwuGGF74?si=wKSzo8BrF2okXxBx";"";"Einen Brief von seiner verstorbenen Frau, lässt ihn nicht los";"Englisch, Japanisch";"2024-10-08";"https://store.playstation.com/de-de/product/EP0101-PPSA08709_00-MAINGAME00000000";"https://store.steampowered.com/app/2124490/SILENT_HILL_2";"";"";"/bilder/Spielelogo/Silent_Hill_2_Remake.png";"/bilder/Orte/Silent_Hill_2_Remake/Silent_Hill_2_Remake.png";"/bilder/Cover/Silent_Hill_2_Remake.png";"78";"85";"90";"68";"80";"90";"85";"82";"10";"0"
